,Demanda red,Demanda / perfil,Lluvia obs.,Lluvia pron.,Temp. obs.,Temp. pron.,Evento,sin(hora),cos(hora),Fin de semana
Demanda red,1.0,0.1408981231548243,0.01711652530765911,-0.0041794956228373755,0.46022023378102966,0.45389330969108443,0.07128690107213224,-0.21679338136061474,-0.39246265379929357,-0.19432366784481378
Demanda / perfil,0.1408981231548243,1.0,-0.27532994230458463,-0.1632863217682712,0.018350439267987167,0.021901089874767857,0.17244926904345828,-0.07403088086976392,0.018956614037470107,-0.02204762299022198
Lluvia obs.,0.01711652530765911,-0.27532994230458463,1.0,0.4623394741226343,0.05713679270364913,0.05535559678593095,-0.11968136507642861,0.06351172421161272,-0.09849927762908521,0.07275519016308574
Lluvia pron.,-0.0041794956228373755,-0.1632863217682712,0.4623394741226343,1.0,0.016833022571860236,0.016208082719734434,-0.022404142471374303,0.05974360105199201,-0.04671483781152471,0.022943890690583953
Temp. obs.,0.46022023378102966,0.018350439267987167,0.05713679270364913,0.016833022571860236,1.0,0.9795543830613036,-0.0004326541653053531,-0.4700442844312989,-0.8475550739334548,0.0010541381524784787
Temp. pron.,0.45389330969108443,0.021901089874767857,0.05535559678593095,0.016208082719734434,0.9795543830613036,1.0,0.004091545582328951,-0.46900291458765014,-0.8321919041821648,0.002342529227729953
Evento,0.07128690107213224,0.17244926904345828,-0.11968136507642861,-0.022404142471374303,-0.0004326541653053531,0.004091545582328951,1.0,-0.009683368973786409,0.0008986446365044408,-0.2204870200100086
sin(hora),-0.21679338136061474,-0.07403088086976392,0.06351172421161272,0.05974360105199201,-0.4700442844312989,-0.46900291458765014,-0.009683368973786409,1.0,0.0032252156927325007,0.0
cos(hora),-0.39246265379929357,0.018956614037470107,-0.09849927762908521,-0.04671483781152471,-0.8475550739334548,-0.8321919041821648,0.0008986446365044408,0.0032252156927325007,1.0,0.0
Fin de semana,-0.19432366784481378,-0.02204762299022198,0.07275519016308574,0.022943890690583953,0.0010541381524784787,0.002342529227729953,-0.2204870200100086,0.0,0.0,1.0
