station_id,day_type,slot,median,mean,p10,p90,n
02300,laboral,0,119.0,121.96428571428571,101.0,152.2,28
02300,laboral,1,124.0,124.57142857142857,99.5,151.9,28
02300,laboral,2,120.5,125.78571428571429,108.4,144.6,28
02300,laboral,3,116.5,119.03571428571429,101.1,142.9,28
02300,laboral,4,125.5,124.53571428571429,96.2,148.9,28
02300,laboral,5,116.0,118.46428571428571,97.4,146.6,28
02300,laboral,6,121.0,121.85714285714286,91.2,155.9,28
02300,laboral,7,119.0,117.96428571428571,99.7,135.5,28
02300,laboral,8,124.0,125.28571428571429,95.1,151.2,28
02300,laboral,9,124.5,121.92857142857143,101.4,145.0,28
02300,laboral,10,119.5,117.39285714285714,92.4,145.5,28
02300,laboral,11,113.0,118.93548387096774,97.0,148.0,31
02300,laboral,12,124.0,121.70967741935483,90.0,151.0,31
02300,laboral,13,114.0,117.19354838709677,95.0,144.0,31
02300,laboral,14,117.0,117.0,87.0,140.0,31
02300,laboral,15,120.0,120.96774193548387,86.0,149.0,31
02300,laboral,16,124.0,127.16129032258064,101.0,156.0,31
02300,laboral,17,121.0,124.58064516129032,104.0,156.0,31
02300,laboral,18,124.0,124.45161290322581,107.0,143.0,31
02300,laboral,19,132.0,136.09677419354838,114.0,173.0,31
02300,laboral,20,155.0,150.1290322580645,114.0,183.0,31
02300,laboral,21,171.0,171.2258064516129,139.0,214.0,31
02300,laboral,22,189.0,189.8709677419355,145.0,229.0,31
02300,laboral,23,223.0,226.61290322580646,182.0,279.0,31
02300,laboral,24,279.0,268.38709677419354,195.0,332.0,31
02300,laboral,25,318.0,309.3225806451613,243.0,356.0,31
02300,laboral,26,379.0,385.59375,340.1,444.70000000000005,32
02300,laboral,27,456.5,459.5,359.6,550.6,32
02300,laboral,28,507.5,526.4375,435.6,615.2,32
02300,laboral,29,617.5,611.375,454.4,724.4,32
02300,laboral,30,659.5,674.03125,498.4,844.2,32
02300,laboral,31,770.0,782.75,665.3,948.7,32
02300,laboral,32,764.5,763.75,659.1,898.9,32
02300,laboral,33,798.5,800.09375,692.2,945.5000000000001,32
02300,laboral,34,782.5,793.9375,634.7,975.3000000000001,32
02300,laboral,35,744.5,763.21875,658.4,876.8,32
02300,laboral,36,736.0,739.0625,606.2,900.7,32
02300,laboral,37,653.0,656.1,563.7,756.4,30
02300,laboral,38,566.5,587.3666666666667,493.1,704.5,30
02300,laboral,39,542.0,536.2,409.0,648.3000000000001,30
02300,laboral,40,451.5,443.2,349.5,555.9,30
02300,laboral,41,353.5,366.8666666666667,295.4,441.6,30
02300,laboral,42,303.5,309.3666666666667,229.6,377.20000000000005,30
02300,laboral,43,276.0,264.3666666666667,200.3,317.2,30
02300,laboral,44,216.5,216.63333333333333,173.9,265.6,30
02300,laboral,45,188.5,191.86666666666667,154.6,236.8,30
02300,laboral,46,164.0,159.36666666666667,118.0,187.1,30
02300,laboral,47,155.0,154.66666666666666,104.3,192.9,30
02300,laboral,48,139.0,136.83333333333334,111.5,158.1,30
02300,laboral,49,124.0,125.6,97.8,149.00000000000003,30
02300,laboral,50,122.0,123.36666666666666,100.9,153.70000000000002,30
02300,laboral,51,129.0,126.5,93.8,152.70000000000002,30
02300,laboral,52,131.0,126.74074074074075,91.2,153.60000000000002,27
02300,laboral,53,120.0,125.4074074074074,102.0,153.0,27
02300,laboral,54,127.0,125.5925925925926,90.4,149.8,27
02300,laboral,55,124.0,124.88888888888889,102.2,147.20000000000002,27
02300,laboral,56,138.0,136.96296296296296,109.4,166.4,27
