station_id,station_name,corridor,latitude,longitude,short,archetype,mean,std,median,p05,p95,max,daily_weekday,daily_weekend,weekend_index
05000,Portal Américas,Américas,4.6293813,-74.17305845,Portal Américas,Portal (origen AM),342.0578703703704,288.81064743989015,201.0,103.0,974.1000000000004,1944,34700.40625,28252.076923076922,0.8141713592496319
03000,Portal Suba,Suba,4.74681506,-74.09427889,Portal Suba,Portal (origen AM),258.4259259259259,216.82747154981146,153.0,78.0,754.1000000000004,1252,26184.8125,21422.0,0.8181078249080455
09000,Portal Usme,Caracas,4.53171458,-74.11939098,Portal Usme,Portal (origen AM),217.86828703703705,183.96227104914396,128.0,64.0,629.0500000000002,1071,22022.6875,18189.615384615383,0.8259489394568843
07111,Ricaurte - NQS,NQS,4.6116862,-74.09386888,Ricaurte,Intercambio (doble pico),683.7166666666667,459.3635366568718,452.0,261.0,1627.0500000000002,2284,69271.40625,56690.07692307692,0.8183762968299336
05100,Banderas,Américas,4.63130064,-74.14576938,Banderas,Intercambio (doble pico),591.0625,391.05814536345554,392.0,226.0,1369.250000000001,2065,59815.8125,49175.692307692305,0.8221186046363962
06000,Portal El Dorado – C.C. NUESTRO BOGOTÁ,Calle 26,4.6816043,-74.12139545,Portal El Dorado,Intercambio (doble pico),510.94375,343.00521467412744,340.5,191.0,1205.0,1789,51737.65625,42436.307692307695,0.8202209138978478
02300,Calle 100 - Marketmedios,Autonorte,4.68394667,-74.05769591,Calle 100,Oficinas (destino AM),293.96921296296296,279.2946690033143,158.0,55.0,909.0500000000002,1472,33258.84375,15820.307692307691,0.47567220950991995
09122,Calle 72,Caracas,4.65823884,-74.06206854,Calle 72,Oficinas (destino AM),249.79930555555555,234.4085525946127,134.0,46.0,768.0500000000002,1249,28248.09375,13476.461538461539,0.47707507833025153
07107,Universidad Nacional,NQS,4.63711879,-74.07932113,Universidad Nacional,Universitaria (mediodía),281.02916666666664,198.73356987573726,248.0,44.0,662.0500000000002,982,31790.65625,15134.23076923077,0.47605908636223165
06111,Universidades – CityU,Calle 26,4.60464286,-74.06730954,Universidades,Universitaria (mediodía),238.89143518518517,169.9477645278168,207.0,36.0,569.0500000000002,835,27059.71875,12776.923076923076,0.4721750139004337
10009,Museo Nacional,Carrera 7-10,4.61524712,-74.06922646,Museo Nacional,Ocio nocturno,337.92060185185187,270.6608403933674,266.0,80.0,910.2000000000007,1434,30027.46875,38379.846153846156,1.2781578918085181
07105,Movistar Arena,NQS,4.65003852,-74.07834591,Movistar Arena,Ocio nocturno,272.5898148148148,217.4367979228882,213.5,64.0,729.0,1313,24187.0,31046.46153846154,1.283601171640201
